,Start Node,Coffee Beans,K-Cups,Tetley Tea,Capt. Crunch,Breakfast Biscuits,Chewy Bars,Granola,Hershey's,Brownie Mix,Jell-O Pudding,Seasoning,Soup,Pickles,Italian Dressing,Ranch Dressing,Soy Sauce,Penne,CapriSun,Tortillas,Mayonnaise,BBQ Sauce,Tobasco,Tomato Sauce,Ibuprofen,Febreeze,Tootpaste,Tampons,Shampoo,Toilet Paper,Paper Towels,Flushable Wipes,Napkins,Swiffer Refills,Dog Treats,Air Freshner,Oreos,Redbull (4),Ritz,Coca Cola (12),LaCroix (12),Glaceau SmartWater,Bottled Water (24),Milk Gallon,Butter Sticks,Eggs (12),Waffles,Taquitos,Breyer's Ice Cream,Dole Frozen Fruit,Lasagna,Bagel Bites,"Pizza (12"")",Hummus,Ham,Salmon,Salad Greens,Apples (per lb),Avacado (each),Tomatoes (per lb),Roses (12),End Node
Start Node,2,3.5,5.5,7,8.5,9.5,11,12,11.5,5.5,4.5,4,6.5,12,12.5,13,14.5,14,13.5,9.5,8.5,8,7.5,6.5,8,12.5,15.5,14.5,16,17.5,15.5,14.5,13.5,13.5,14.5,15.5,17.5,12,10.5,11.5,12.5,19.5,20,12.5,15.5,20.5,20.5,16.5,15.5,16.5,17.5,18.5,21.5,18,18.5,19,20.5,21,21.5,22,23,0
Coffee Beans,3.5,2,4,5.5,7,8,9.5,10.5,13,7,6,5.5,8,13.5,14,14.5,16,15.5,15,11,10,9.5,9,8,9.5,14,17,16,16.5,17,17,16,15,15,16,17,19,13.5,12,13,14,21,20.5,14,17,22,22,18,17,18,19,20,23,16.5,17,17.5,19,19.5,20,20.5,21.5,1.5
K-Cups,5.5,4,2,3.5,5,6,7.5,8.5,13,9,8,7.5,10,14.5,14,13.5,14,14.5,15,13,12,11.5,11,10,11.5,16,15,16,14.5,15,17,18,17,17,18,19,19,15.5,14,15,16,19,18.5,16,19,20,22,20,19,20,21,22,21,14.5,15,15.5,17,17.5,18,18.5,19.5,3.5
Tetley Tea,7,5.5,3.5,2,3.5,4.5,6,7,11.5,10.5,9.5,9,11.5,13,12.5,12,12.5,13,13.5,14.5,13.5,13,12.5,11.5,13,16.5,13.5,14.5,13,13.5,15.5,16.5,17.5,18.5,18.5,17.5,17.5,17,15.5,16.5,17.5,17.5,17,17.5,20.5,18.5,20.5,21.5,20.5,21.5,22.5,22.5,19.5,13,13.5,14,15.5,16,16.5,17,18,5
Capt. Crunch,8.5,7,5,3.5,2,3,4.5,5.5,10,12,11,10.5,13,11.5,11,10.5,11,11.5,12,16,15,14.5,14,13,14.5,15,12,13,11.5,12,14,15,16,18,17,16,16,18.5,17,18,19,16,15.5,19,22,17,19,23,22,23,22,21,18,11.5,12,12.5,14,14.5,15,15.5,16.5,6.5
Breakfast Biscuits,9.5,8,6,4.5,3,2,3.5,4.5,9,13,12,11.5,14,10.5,10,9.5,10,10.5,11,15,16,15.5,15,14,15.5,14,11,12,10.5,11,13,14,15,17,16,15,15,19.5,18,19,20,15,14.5,20,21,16,18,22,23,22,21,20,17,10.5,11,11.5,13,13.5,14,14.5,15.5,7.5
Chewy Bars,11,9.5,7.5,6,4.5,3.5,2,3,7.5,13.5,13.5,13,14.5,9,8.5,8,8.5,9,9.5,13.5,14.5,15,15.5,15.5,17,12.5,9.5,10.5,9,9.5,11.5,12.5,13.5,15.5,14.5,13.5,13.5,19,19.5,20.5,20.5,13.5,13,21.5,19.5,14.5,16.5,20.5,21.5,20.5,19.5,18.5,15.5,9,9.5,10,11.5,12,12.5,13,14,9
Granola,12,10.5,8.5,7,5.5,4.5,3,2,6.5,12.5,13.5,14,13.5,8,7.5,7,7.5,8,8.5,12.5,13.5,14,14.5,15.5,16,11.5,8.5,9.5,8,8.5,10.5,11.5,12.5,14.5,13.5,12.5,12.5,18,19.5,20.5,19.5,12.5,12,21.5,18.5,13.5,15.5,19.5,20.5,19.5,18.5,17.5,14.5,8,8.5,9,10.5,11,11.5,12,13,10
Hershey's,11.5,13,13,11.5,10,9,7.5,6.5,2,8,9,9.5,14,8.5,8,7.5,8,8.5,9,13,14,14.5,15,14,15.5,12,9,10,8.5,9,11,12,13,15,14,13,13,18.5,18,19,20,13,12.5,20,19,14,16,20,21,20,19,18,15,8.5,9,9.5,11,11.5,12,12.5,13.5,9.5
Brownie Mix,5.5,7,9,10.5,12,13,13.5,12.5,8,2,3,3.5,8,13.5,14,13.5,14,14.5,15,11,10,9.5,9,8,9.5,14,15,16,14.5,15,17,16,15,15,16,17,19,13.5,12,13,14,19,18.5,14,17,20,22,18,17,18,19,20,21,14.5,15,15.5,17,17.5,18,18.5,19.5,3.5
