Item ,Price,Position in Aisle,X Position,Y Position
Start Node,0,0,0,0
Coffee Beans,6.99,0.1,0,15
K-Cups,10.99,0.3,0,35
Tetley Tea,3.19,0.45,0,50
Capt. Crunch,3.99,0.6,0,65
Breakfast Biscuits,3.29,0.7,0,75
Chewy Bars,3.69,0.85,0,90
Granola,5.49,0.95,0,100
Hershey's,2.69,0.8,10,85
Brownie Mix,2.29,0.2,10,25
Jell-O Pudding,1.69,0.1,10,15
Seasoning,3.99,0.05,10,10
Soup,1.99,0.2,20,25
Pickles,2.99,0.75,20,80
Italian Dressing,3.99,0.8,20,85
Ranch Dressing,3.49,0.85,20,90
Soy Sauce,2.49,0.9,30,95
Penne,3.49,0.85,30,90
CapriSun,2.49,0.8,30,85
Tortillas,1.99,0.4,30,45
Mayonnaise,2.99,0.3,30,35
BBQ Sauce,1.99,0.25,30,30
Tobasco,3.99,0.2,30,25
Tomato Sauce,2.99,0.1,30,15
Ibuprofen,5.49,0.15,40,20
Febreeze,4.99,0.6,40,65
Tootpaste,3.99,0.9,40,95
Tampons,5.29,0.8,40,85
Shampoo,8.99,0.95,40,100
Toilet Paper,7.99,1,50,105
Paper Towels,9.99,0.8,50,85
Flushable Wipes,6.49,0.7,50,75
Napkins,3.29,0.6,50,65
Swiffer Refills,7.99,0.5,60,55
Dog Treats,3.99,0.6,60,65
Air Freshner,6.99,0.7,60,75
Oreos,3.99,0.8,70,85
Redbull (4),7.99,0.25,70,30
Ritz,3.99,0.1,70,15
Coca Cola (12),5.99,0.1,80,15
LaCroix (12),5.49,0.2,80,25
Glaceau SmartWater,6.99,0.9,80,95
Bottled Water (24),4.99,0.95,80,100
Milk Gallon,3.79,0.1,90,15
Butter Sticks,2.99,0.4,90,45
Eggs (12),3.99,0.9,90,95
Waffles,3.79,0.8,100,85
Taquitos,6.99,0.4,100,45
Breyer's Ice Cream,4.99,0.3,100,35
Dole Frozen Fruit,3.49,0.4,100,45
Lasagna,9.99,0.5,100,55
Bagel Bites,2.79,0.6,100,65
"Pizza (12"")",8.99,0.9,100,95
Hummus,3.99,0.5,50,110
Ham,3.99,0.55,55,110
Salmon,5.99,0.6,60,110
Salad Greens,3.49,0.75,75,110
Apples (per lb),1.99,0.8,80,110
Avacado (each),1.49,0.85,85,110
Tomatoes (per lb),2.99,0.9,90,110
Roses (12),12.99,1,100,110
End Node,0,0,0,0
